"Dayton"," Ohio",39.7589478,-84.1916069,"Dayton, Montgomery County, Ohio, United States of America"
"Springfield"," Ohio",39.9242266,-83.8088172,"Springfield, Clark County, Ohio, United States of America"
"Urbana"," Ohio",40.1083912,-83.7524298,"Urbana, Champaign County, Ohio, 43078, United States of America"
"Chillicothe"," Ohio",39.3331197,-82.9824019,"Chillicothe, Ross County, Ohio, United States of America"
"Hillsboro"," Ohio",39.2022866,-83.611587,"Hillsboro, Highland County, Ohio, United States of America"
"Steubenville"," Ohio",40.3697905,-80.6339638,"Steubenville, Jefferson County, Ohio, 43952, United States of America"
"Newark"," Ohio",40.0581205,-82.4012643,"Newark, Licking County, Ohio, 43055, United States of America"
"Cleveland"," Ohio",41.5051613,-81.6934446,"Cleveland, Cuyahoga County, Ohio, United States of America"
"Dublin"," Ohio",40.0992294,-83.1140771,"Dublin, Franklin County, Ohio, United States of America"
"Xenia"," Ohio",39.6847822,-83.9296526,"Xenia, Greene County, Ohio, 45385, United States of America"
"Logan county"," Ohio",40.4430521,-83.7414465,"Logan County, Ohio, United States of America"
"Mt. Vernon"," Ohio",40.3933956,-82.4857181,"Mount Vernon, Knox County, Ohio, 43050, United States of America"
"Trenton"," Ohio",39.4808905,-84.4577222,"Trenton, Butler County, Ohio, 45067, United States of America"
"Mt. Pleasant"," Ohio",40.1753485,-80.7978631,"Mount Pleasant, Jefferson County, Ohio, United States of America"
"Warren"," Ohio",39.4203978,-84.180897,"Warren County, Ohio, United States of America"
"Gallipolis"," Ohio",38.809803,-82.2023691,"Gallipolis, Gallia County, Ohio, United States of America"
"Jackson"," Ohio",39.0131871,-82.6089043,"Jackson County, Ohio, United States of America"
"Lebanon"," Ohio",39.4165966,-84.2851667,"Lebanon, Warren County, Ohio, United States of America"
"Massillon"," Ohio",40.7967244,-81.5215093,"Massillon, Stark County, Ohio, United States of America"
"Barnesville"," Ohio",39.9881261,-81.1764961,"Barnesville, Belmont County, Ohio, 43713, United States of America"
"Oberlin"," Ohio",41.2939386,-82.2173786,"Oberlin, Lorain County, Ohio, 44074, United States of America"
"Sandusky"," Ohio",41.2951563,-83.1555438,"Sandusky County, Ohio, United States of America"
"Morgan county"," Ohio",39.5943953,-81.877978,"Morgan County, Ohio, United States of America"
"Putnam"," Ohio",41.0677672,-84.1686932,"Putnam County, Ohio, United States of America"
"New York City"," Ohio",43.32243,-74.9786,"Ohio, Town of Ohio, Herkimer County, New York, 13324, United States of America"
"Troy","New York",42.7284117,-73.6917878,"Troy, Rensselaer County, New York, 12180:12189, United States of America"
"Utica","New York",43.1009031,-75.2326641,"Utica, Oneida County, New York, 13503, United States of America"
"Geneva","New York",42.8690271,-76.9786122,"Geneva, Geneva Town, Ontario County, New York, 14456, United States of America"
"Rochester","New York",43.157285,-77.615214,"Rochester, Monroe County, New York, United States of America"
"Batavia","New York",42.9980144,-78.1875515,"Batavia, Genesee County, New York, 14020, United States of America"
"Brockport","New York",43.213671,-77.93918,"Brockport, Sweden Town, Monroe County, New York, 14420, United States of America"
"Lockport","New York",43.168863,-78.6929557832681,"Lockport, Lockport Town, Niagara County, New York, United States of America"
"Buffalo","New York",42.8867166,-78.8783922,"Buffalo, Erie County, New York, United States of America"
"Boston","Massachusetts",42.3602534,-71.0582912,"Boston, Suffolk County, Massachusetts, United States of America"
"Pittsburg","Pennsylvania",40.4416941,-79.9900861,"Pittsburgh, Allegheny County, Pennsylvania, United States of America"
